XR_002498777	LOC110674347
XR_002498778	LOC110674348
XM_021838739	LOC5575839
XM_001655815	LOC5575839
XM_021838742	LOC5575838
XM_021838741	LOC5575838
XM_021838743	LOC5575838
XM_021838744	LOC5575838
XM_021838740	LOC5575838
XM_021838747	LOC5575838
XM_001655814	LOC5575838
XM_021838746	LOC5575838
XM_021838745	LOC5575838
XM_001655813	LOC5575837
XR_002499116	LOC110674706
XM_021838749	LOC5575836
XM_021838748	LOC5575836
XM_021838750	LOC5575836
XM_021838754	LOC5575835
XM_001655809	LOC5575834
XM_021838751	LOC5575834
XR_002499117	LOC5575833
XM_001655807	LOC5575832
XM_021838752	LOC5575832
XM_021838753	LOC5575832
XM_021838755	LOC23687587
XM_021838756	LOC5575825
XM_001655806	LOC5575825
XM_021838757	LOC5575826
XM_001655804	LOC5575827
XM_001655803	LOC5575828
XM_001655802	LOC5575829
XM_001655801	LOC5575830
XM_021838759	LOC5575831
XM_021838758	LOC5575831
XM_021838760	LOC110674708
XM_001655799	LOC5575824
XM_021838761	LOC110674709
XM_001648034	LOC5579632
XM_021838766	LOC5579632
XM_021838765	LOC5579632
XM_021838763	LOC5579633
XM_021838764	LOC5579633
XM_021838762	LOC5579633
XR_002499119	LOC110674710
XR_002499120	LOC110674711
XR_002499121	LOC110674713
XM_021838767	LOC110674712
XM_021838768	LOC23687468
XR_002499122	LOC110674714
XM_021838770	LOC5576812
XM_021838769	LOC5576812
XM_001655269	LOC5574751
XR_002499123	LOC110674716
XM_001655268	LOC5574752
XM_001655267	LOC5574753
XM_001655266	LOC5574746
XM_001655265	LOC5574743
XM_021838772	LOC5574745
XM_001655264	LOC5574745
XR_002499124	LOC110674717
XM_001663460	LOC5577736
XM_021838774	LOC5574744
XM_001655261	LOC5574744
XM_001655262	LOC5574744
XM_001655263	LOC5574740
XM_011495297	LOC5574741
XM_021838775	LOC5574741
XM_011495298	LOC5574741
XM_021838776	LOC5574741
XM_021853121	LOC5574742
XM_021838778	LOC5575983
XM_021838777	LOC5575983
XM_021838779	LOC5571578
